City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Boa Vista,BR,2.82,-60.67,80.58,69,40,5.75,scattered clouds
263,Manzanillo,CU,20.34,-77.12,81.21,70,76,8.37,broken clouds
264,Bambous Virieux,MU,-20.34,57.76,69.22,94,40,12.66,light rain
265,Vyshneve,UA,50.39,30.37,70.16,87,98,8.46,overcast clouds
266,Imbituba,BR,-28.24,-48.67,59.09,99,58,1.86,broken clouds
267,Leh,IN,34.17,77.58,55.65,85,100,5.37,moderate rain
268,Chuy,UY,-33.70,-53.46,51.33,92,4,6.11,clear sky
269,Tres Arroyos,AR,-38.37,-60.28,48.52,76,0,9.46,clear sky
270,Sao Joao Evangelista,BR,-18.55,-42.76,59.72,41,100,2.55,overcast clouds
271,Kurchum,KZ,48.57,83.65,67.33,49,18,2.53,few clouds
272,Kanjiza,RS,46.07,20.05,65.79,49,98,6.96,overcast clouds
273,Kassala,SD,15.45,36.40,74.89,85,97,14.85,overcast clouds
274,Yago,MX,21.83,-105.07,86.29,73,88,6.8,overcast clouds
275,High Level,CA,58.52,-117.14,60.91,67,20,5.75,few clouds
276,San Vicente,AR,-26.62,-54.13,49.12,95,42,2.64,scattered clouds
277,Havre-Saint-Pierre,CA,50.23,-63.60,62.96,82,100,3.44,overcast clouds
278,Zambezi,ZM,-13.54,23.10,56.26,41,7,5.21,clear sky
279,Qorveh,IR,35.17,47.80,72.93,34,1,6.73,clear sky
280,Boyolangu,ID,-8.12,111.89,76.35,90,86,0.87,overcast clouds
281,Salzhemmendorf,DE,52.07,9.59,67.19,64,8,2.21,clear sky
282,Mayumba,GA,-3.43,10.66,69.13,93,92,3.85,overcast clouds
283,Codrington,AU,-38.27,141.97,48.02,90,99,5.5,overcast clouds
284,Kaputa,ZM,-8.47,29.66,68.4,50,14,0.87,few clouds
285,Mazamari,PE,-11.33,-74.53,73.99,76,63,0.76,broken clouds
286,Longyearbyen,SJ,78.22,15.64,44.44,76,75,11.5,broken clouds
287,Coos Bay,US,43.37,-124.22,73.31,91,100,8.05,mist
288,Red Bluff,US,40.18,-122.24,97.52,9,3,8.9,clear sky
289,Dudinka,RU,69.41,86.18,47.62,77,89,8.84,overcast clouds
290,Henties Bay,NA,-22.12,14.28,52.52,92,2,4.12,clear sky
291,Wanaka,NZ,-44.70,169.15,37.35,78,24,0.36,few clouds
292,Umea,SE,63.83,20.26,59.92,67,0,4.61,clear sky
293,Kloulklubed,PW,7.04,134.26,73.9,65,100,3.29,overcast clouds
294,Misratah,LY,32.38,15.09,80.6,67,0,2.86,clear sky
295,Moron,AR,-34.65,-58.62,58.96,68,0,7.76,clear sky
296,San Juan Bautista,PE,-14.01,-75.74,64.49,63,2,3.91,clear sky
